date,time,type,cpuReal,cpuUser,cpuSystem,collectionPauseTime,youngSizeBefore,youngSizeAfter,youngSizeMax,totalSizeBefore,totalSizeAfter,totalSizeMax,youngSizeCollected,totalSizeCollected,promotedSize,tenuredSizeBefore,tenuredSizeAfter
13-11-06 11:13:11,819.62,CMS_INITIAL_MARK,0.05,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:13:12,820.591,CMS_CONCURRENT_MARK,0.92,4.04,0.05,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:13:12,820.609,CMS_CONCURRENT_PRECLEAN,0.02,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:13:13,821.882,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.28,6.19,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:13:16,824.544,CMS_CONCURRENT_SWEEP,2.35,11.45,0.38,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:13:16,824.567,CMS_CONCURRENT_RESET,0.02,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:35,1323.577,CMS_INITIAL_MARK,0.08,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:36,1324.714,CMS_CONCURRENT_MARK,1.06,6.0,0.18,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:36,1324.774,CMS_CONCURRENT_PRECLEAN,0.06,0.13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:38,1327.019,CMS_CONCURRENT_ABORTABLE_PRECLEAN,2.24,8.39,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:40,1329.028,CMS_CONCURRENT_SWEEP,1.69,6.13,0.13,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:21:40,1329.059,CMS_CONCURRENT_RESET,0.03,0.16,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:06,1654.892,CMS_INITIAL_MARK,0.04,0.04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:07,1655.836,CMS_CONCURRENT_MARK,0.9,4.33,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:07,1655.851,CMS_CONCURRENT_PRECLEAN,0.02,0.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:09,1657.25,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.4,5.38,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:11,1659.339,CMS_CONCURRENT_SWEEP,1.89,7.61,0.11,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:27:11,1659.368,CMS_CONCURRENT_RESET,0.02,0.1,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:20,2029.064,CMS_INITIAL_MARK,0.02,0.03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:21,2029.996,CMS_CONCURRENT_MARK,0.9,3.84,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:21,2030.024,CMS_CONCURRENT_PRECLEAN,0.03,0.08,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:23,2031.93,CMS_CONCURRENT_ABORTABLE_PRECLEAN,1.9,7.16,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:25,2033.978,CMS_CONCURRENT_SWEEP,1.87,10.16,0.32,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:33:25,2034.003,CMS_CONCURRENT_RESET,0.02,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:41:56,2544.727,CMS_INITIAL_MARK,0.06,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:41:57,2545.826,CMS_CONCURRENT_MARK,1.04,5.5,0.13,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:41:57,2545.857,CMS_CONCURRENT_PRECLEAN,0.03,0.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:41:58,2546.516,CMS_CONCURRENT_ABORTABLE_PRECLEAN,0.66,3.36,0.16,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:42:00,2548.556,CMS_CONCURRENT_SWEEP,1.82,5.73,0.13,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:42:00,2548.58,CMS_CONCURRENT_RESET,0.02,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:49:49,3017.306,CMS_INITIAL_MARK,0.04,0.04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:49:50,3018.22,CMS_CONCURRENT_MARK,0.87,4.33,0.11,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:49:50,3018.238,CMS_CONCURRENT_PRECLEAN,0.02,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:49:50,3019.037,CMS_CONCURRENT_ABORTABLE_PRECLEAN,0.8,4.41,0.09,0.0,0,0,0,0,0,0,0,0,0,0,0
13-11-06 11:49:53,3021.276,CMS_CONCURRENT_SWEEP,1.87,9.22,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0
